AudioFile,Volume,sentence,Target word
spf_275.wav,1,He got drunk in the local bar,bar
spf_61.wav,1,The cigarette smoke filled his lungs,lungs
spf_93.wav,5,Miss Black would consider the bone,bone
spf_148.wav,5,She’s spoken about the bomb,bomb
spf_152.wav,4,Raise the flag up the pole,pole
spf_9.wav,4,Let’s decide by tossing a coin,coin
spf_66.wav,2,This nozzle sprays a fine mist,mist
spf_194.wav,1,I hope Paul asked about the mate,mate
spf_22.wav,5,The witness took a solemn oath,oath
spf_163.wav,2,The old man considered the kick,kick
spf_289.wav,2,Miss Brown spoke about the cave,cave
spf_284.wav,2,Bill didn’t discuss the hen,hen
spf_23.wav,2,We could consider the feast,feast
spf_131.wav,4,He is considering the throat,throat
spf_134.wav,5,We can’t consider the wheat,wheat
spf_261.wav,4,You were considering the gang,gang
spf_117.wav,3,He tossed the drowning man a rope,rope
spf_21.wav,1,You heard Jane called about the van,van
spf_73.wav,4,The girl talked about the gin,gin
spf_166.wav,2,Paul could not consider the rim,rim
spf_195.wav,1,Miss Brown will speak about the grin,grin
spf_214.wav,3,He hasn’t considered the dart,dart
spf_75.wav,5,Mary should think about the sword,sword
